Time_s,Position_m,Velocity_ms,Acceleration_ms2
0,0,0,0
0.01,0.000127445,0.0260169,2.65595
0.02,0.000520412,0.0525764,2.65595
0.03,0.00117897,0.079136,2.65595
0.04,0.00210313,0.105696,2.65595
0.05,0.00329288,0.132255,2.65595
0.06,0.00474823,0.158815,2.65595
0.07,0.00646918,0.185374,2.65595
0.08,0.00845571,0.211934,2.65595
0.09,0.0107078,0.238493,2.65595
0.1,0.0132256,0.265053,2.65595
0.11,0.0160089,0.291612,2.65595
0.12,0.0190578,0.318172,2.65595
0.13,0.0223723,0.344731,2.65595
0.14,0.0259524,0.371291,2.65595
0.15,0.0297982,0.39785,2.65595
0.16,0.0339095,0.42441,2.65595
0.17,0.0382864,0.450969,2.65595
0.18,0.042794,0.434426,-4.24948
0.19,0.0469258,0.391931,-4.24948
0.2,0.0506326,0.349436,-4.24948
0.21,0.0539145,0.306941,-4.24948
0.22,0.0567714,0.264446,-4.24948
0.23,0.0592034,0.221951,-4.24948
0.24,0.0612105,0.179457,-4.24948
0.25,0.0627926,0.136962,-4.24948
0.26,0.0639497,0.094467,-4.24948
0.27,0.0646819,0.0519722,-4.24948
0.28,0.0649891,0.00947737,-4.24948
0.29,0.0649998,-4.44523e-17,0
