time_sec,x,y,z
0,-0.359391,-0.219877,0.0860498
0.01,-0.359385,-0.219873,0.0860518
0.02,-0.359381,-0.219869,0.0860532
0.032,-0.359373,-0.219863,0.0860557
0.044,-0.359368,-0.219858,0.0860576
0.056,-0.359362,-0.219853,0.0860594
0.068,-0.359357,-0.219849,0.0860612
0.078,-0.359353,-0.219846,0.0860625
0.092,-0.359348,-0.219841,0.0860643
0.102,-0.359344,-0.219838,0.0860655
0.114,-0.359344,-0.219838,0.0860655
0.124,-0.359339,-0.219836,0.0860672
0.144,-0.359345,-0.219841,0.0860654
0.158,-0.35935,-0.219845,0.0860637
0.168,-0.359359,-0.219854,0.0860607
0.178,-0.359368,-0.219862,0.0860578
0.188,-0.359393,-0.219882,0.0860493
0.2,-0.359421,-0.219906,0.0860394
0.212,-0.359452,-0.219929,0.0860286
0.222,-0.35948,-0.219954,0.0860193
0.234,-0.359543,-0.220002,0.0859972
0.244,-0.359583,-0.220037,0.0859835
0.254,-0.359644,-0.220087,0.0859624
0.264,-0.359717,-0.220145,0.0859374
0.274,-0.359798,-0.220209,0.0859092
0.284,-0.359889,-0.22028,0.0858777
0.294,-0.35999,-0.220359,0.0858429
0.304,-0.3601,-0.220446,0.0858047
0.314,-0.360221,-0.22054,0.0857629
0.324,-0.360353,-0.220643,0.0857174
0.334,-0.360496,-0.220754,0.0856681
0.344,-0.36065,-0.220873,0.085615
0.354,-0.360816,-0.221001,0.0855578
0.364,-0.360994,-0.221139,0.0854967
0.374,-0.361184,-0.221285,0.0854314
0.384,-0.361386,-0.221441,0.0853619
0.394,-0.361601,-0.221606,0.0852881
0.404,-0.36183,-0.22178,0.08521
0.414,-0.362071,-0.221965,0.0851275
0.424,-0.362311,-0.222141,0.0850453
0.434,-0.362572,-0.222345,0.084957
0.444,-0.362854,-0.222561,0.0848613
0.454,-0.363152,-0.222786,0.0847604
0.464,-0.363474,-0.223035,0.084651
0.474,-0.363844,-0.22333,0.0845238
0.484,-0.36427,-0.223673,0.0843746
0.494,-0.364754,-0.224064,0.0842029
0.504,-0.365295,-0.2245,0.0840092
0.514,-0.365893,-0.224983,0.083794
0.524,-0.366548,-0.22551,0.0835577
0.534,-0.36726,-0.226081,0.0833008
0.544,-0.368028,-0.226695,0.0830237
0.554,-0.368853,-0.227352,0.0827269
0.564,-0.369733,-0.228051,0.082411
0.574,-0.370669,-0.22879,0.0820763
0.584,-0.371662,-0.22957,0.0817233
0.594,-0.37271,-0.23039,0.0813526
0.604,-0.373808,-0.231242,0.0809662
0.614,-0.374926,-0.232096,0.080573
0.624,-0.376046,-0.232949,0.0801789
0.634,-0.377168,-0.233802,0.0797848
0.644,-0.378291,-0.234656,0.0793907
0.654,-0.379417,-0.235511,0.0789967
0.664,-0.380544,-0.236367,0.0786029
0.674,-0.381673,-0.237222,0.0782096
0.684,-0.382803,-0.238076,0.0778171
0.694,-0.383933,-0.238928,0.0774261
0.704,-0.385061,-0.239776,0.0770372
0.714,-0.386186,-0.240619,0.0766509
0.724,-0.3873,-0.241448,0.0762702
0.734,-0.388376,-0.242236,0.075904
0.744,-0.389405,-0.242984,0.0755566
0.754,-0.390386,-0.243693,0.0752278
0.764,-0.391321,-0.244367,0.0749166
0.774,-0.392211,-0.245005,0.0746227
0.784,-0.393059,-0.245612,0.0743445
0.794,-0.393868,-0.246189,0.074081
0.804,-0.39464,-0.246736,0.0738313
0.814,-0.395375,-0.247256,0.0735946
0.824,-0.396075,-0.24775,0.0733704
0.834,-0.396742,-0.248219,0.073158
0.844,-0.397378,-0.248665,0.0729567
0.854,-0.397982,-0.249088,0.072766
0.864,-0.398559,-0.24949,0.0725853
0.874,-0.399107,-0.249872,0.072414
0.884,-0.399629,-0.250236,0.0722516
0.894,-0.400126,-0.250581,0.0720977
0.904,-0.400599,-0.250909,0.0719518
0.914,-0.401049,-0.25122,0.0718134
0.924,-0.401478,-0.251517,0.0716822
0.934,-0.401885,-0.251798,0.0715578
0.944,-0.402273,-0.252066,0.0714399
0.954,-0.402642,-0.25232,0.071328
0.964,-0.402993,-0.252561,0.071222
0.974,-0.403326,-0.252791,0.0711215
0.984,-0.403644,-0.253009,0.0710261
0.994,-0.403945,-0.253216,0.0709357
1.004,-0.404232,-0.253413,0.0708501
1.014,-0.404504,-0.2536,0.0707688
1.024,-0.404763,-0.253778,0.0706918
1.034,-0.405009,-0.253947,0.0706187
1.044,-0.405243,-0.254107,0.0705495
1.054,-0.405466,-0.25426,0.0704838
1.064,-0.405677,-0.254405,0.0704215
1.074,-0.405878,-0.254542,0.0703624
1.084,-0.406068,-0.254673,0.0703063
1.094,-0.40625,-0.254798,0.0702532
1.104,-0.406422,-0.254916,0.0702028
1.114,-0.406586,-0.255028,0.0701549
1.124,-0.406741,-0.255135,0.0701096
1.134,-0.406889,-0.255237,0.0700665
1.144,-0.407029,-0.255333,0.0700257
1.154,-0.407163,-0.255425,0.069987
1.164,-0.40729,-0.255512,0.0699502
1.174,-0.40741,-0.255595,0.0699153
1.184,-0.407525,-0.255674,0.0698822
1.194,-0.407633,-0.255748,0.0698508
1.204,-0.407736,-0.25582,0.069821
1.214,-0.407835,-0.255887,0.0697928
1.224,-0.407928,-0.255952,0.0697659
1.234,-0.408016,-0.256013,0.0697405
1.244,-0.408101,-0.256071,0.0697163
1.254,-0.40818,-0.256126,0.0696934
1.264,-0.408256,-0.256179,0.0696716
1.274,-0.408329,-0.256229,0.069651
1.284,-0.408397,-0.256276,0.0696314
1.294,-0.408462,-0.256322,0.0696127
