time_sec,left_shoulder_pan_joint_desired_pos,left_shoulder_pan_joint_desired_vel,left_shoulder_pan_joint_actual_pos,left_shoulder_pan_joint_actual_vel,left_shoulder_pan_joint_error_pos,left_shoulder_pan_joint_error_vel,left_shoulder_lift_joint_desired_pos,left_shoulder_lift_joint_desired_vel,left_shoulder_lift_joint_actual_pos,left_shoulder_lift_joint_actual_vel,left_shoulder_lift_joint_error_pos,left_shoulder_lift_joint_error_vel,left_elbow_joint_desired_pos,left_elbow_joint_desired_vel,left_elbow_joint_actual_pos,left_elbow_joint_actual_vel,left_elbow_joint_error_pos,left_elbow_joint_error_vel,left_wrist_1_joint_desired_pos,left_wrist_1_joint_desired_vel,left_wrist_1_joint_actual_pos,left_wrist_1_joint_actual_vel,left_wrist_1_joint_error_pos,left_wrist_1_joint_error_vel,left_wrist_2_joint_desired_pos,left_wrist_2_joint_desired_vel,left_wrist_2_joint_actual_pos,left_wrist_2_joint_actual_vel,left_wrist_2_joint_error_pos,left_wrist_2_joint_error_vel,left_wrist_3_joint_desired_pos,left_wrist_3_joint_desired_vel,left_wrist_3_joint_actual_pos,left_wrist_3_joint_actual_vel,left_wrist_3_joint_error_pos,left_wrist_3_joint_error_vel
0,-0.735112,-2.23313e-17,-0.734802,-0.00158078,-0.000310541,0,-1.75428,3.22361e-18,-1.75431,0.000165925,3.0303e-05,0,2.433,1.75113e-17,2.43276,0.00124688,0.000243913,0,-1.56195,-2.23033e-18,-1.56192,-0.000150925,-3.10764e-05,0,-3.90301,-1.39526e-17,-3.90282,-0.000998974,-0.000197627,0,3.47112,2.67948e-17,3.47074,0.00192705,0.000379589,0
0.012,-0.735112,-2.23313e-17,-0.734823,-0.00147257,-0.000289285,0,-1.75428,3.22361e-18,-1.75431,0.00015379,2.80781e-05,0,2.433,1.75113e-17,2.43278,0.00116118,0.00022715,0,-1.56195,-2.23033e-18,-1.56192,-0.000141077,-2.9043e-05,0,-3.90301,-1.39526e-17,-3.90283,-0.000931056,-0.00018419,0,3.47112,2.67948e-17,3.47077,0.00179548,0.000353674,0
0.024,-0.735112,-2.23313e-17,-0.73484,-0.00138574,-0.000272227,0,-1.75428,3.22361e-18,-1.7543,0.000144094,2.63012e-05,0,2.433,1.75113e-17,2.43279,0.00109243,0.000213701,0,-1.56195,-2.23033e-18,-1.56192,-0.000133146,-2.7406e-05,0,-3.90301,-1.39526e-17,-3.90284,-0.000876529,-0.000173402,0,3.47112,2.67948e-17,3.47079,0.00168989,0.000332873,0
0.036,-0.735112,-2.23313e-17,-0.734856,-0.00130402,-0.000256175,0,-1.75428,3.22361e-18,-1.7543,0.000135008,2.46362e-05,0,2.433,1.75113e-17,2.4328,0.00102774,0.000201048,0,-1.56195,-2.23033e-18,-1.56192,-0.000125661,-2.58611e-05,0,-3.90301,-1.39526e-17,-3.90285,-0.000825194,-0.000163246,0,3.47112,2.67948e-17,3.47081,0.0015905,0.000313296,0
0.048,-0.735112,-2.23313e-17,-0.734871,-0.00122713,-0.000241069,0,-1.75428,3.22361e-18,-1.7543,0.000126493,2.30762e-05,0,2.433,1.75113e-17,2.43281,0.000966893,0.000189145,0,-1.56195,-2.23033e-18,-1.56192,-0.000118595,-2.4403e-05,0,-3.90301,-1.39526e-17,-3.90286,-0.000776866,-0.000153685,0,3.47112,2.67948e-17,3.47082,0.00149696,0.000294871,0
0.058,-0.735112,-2.23313e-17,-0.734883,-0.00116653,-0.000229164,0,-1.75428,3.22361e-18,-1.7543,0.000119808,2.18517e-05,0,2.433,1.75113e-17,2.43282,0.000918944,0.000179766,0,-1.56195,-2.23033e-18,-1.56192,-0.00011301,-2.32508e-05,0,-3.90301,-1.39526e-17,-3.90287,-0.000738762,-0.000146147,0,3.47112,2.67948e-17,3.47084,0.00142322,0.000280346,0
0.072,-0.735112,-2.23313e-17,-0.734899,-0.00108668,-0.000213478,0,-1.75428,3.22361e-18,-1.7543,0.000111036,2.02453e-05,0,2.433,1.75113e-17,2.43284,0.000855784,0.000167411,0,-1.56195,-2.23033e-18,-1.56193,-0.000105629,-2.17283e-05,0,-3.90301,-1.39526e-17,-3.90288,-0.000688535,-0.00013621,0,3.47112,2.67948e-17,3.47086,0.00132606,0.000261206,0
0.082,-0.735112,-2.23313e-17,-0.734909,-0.00103301,-0.000202935,0,-1.75428,3.22361e-18,-1.7543,0.000105164,1.91705e-05,0,2.433,1.75113e-17,2.43284,0.000813346,0.000159109,0,-1.56195,-2.23033e-18,-1.56193,-0.000100653,-2.0702e-05,0,-3.90301,-1.39526e-17,-3.90288,-0.000654763,-0.000129528,0,3.47112,2.67948e-17,3.47087,0.00126074,0.00024834,0
0.094,-0.734769,0.00137924,-0.734909,-0.00103301,0.000140081,0,-1.75431,-0.000184543,-1.7543,0.000105164,-1.4632e-05,0,2.43273,-0.00111931,2.43284,0.000813346,-0.000110488,0,-1.56191,0.000162824,-1.56193,-0.000100653,1.35333e-05,0,-3.9028,0.000863583,-3.90288,-0.000654763,8.85991e-05,0,3.4707,-0.00157089,3.47087,0.00126074,-0.000170606,0
0.104,-0.734749,0.00551698,-0.734919,0.000823019,0.000169655,0,-1.75432,-0.000738171,-1.75429,2.12979e-05,-2.02026e-05,0,2.43272,-0.00447723,2.43285,-0.000602882,-0.000135138,0,-1.56191,0.000651297,-1.56193,0.000141235,1.55202e-05,0,-3.90278,0.00345433,-3.90289,0.000562001,0.000105871,0,3.47068,-0.00628356,3.47088,-0.0010269,-0.000204193,0
