time_sec,q0,q1,q2,q3,q4,q5,tau0,tau1,tau2,tau3,tau4,tau5
0,-0.734712,-1.75432,2.43269,-1.56191,-3.90276,3.47063,nan,nan,nan,nan,nan,nan
0.01,-0.734736,-1.75432,2.43271,-1.56191,-3.90277,3.47066,nan,nan,nan,nan,nan,nan
0.02,-0.734754,-1.75431,2.43272,-1.56191,-3.90279,3.47068,nan,nan,nan,nan,nan,nan
0.032,-0.734772,-1.75431,2.43274,-1.56191,-3.9028,3.4707,nan,nan,nan,nan,nan,nan
0.042,-0.734789,-1.75431,2.43275,-1.56192,-3.90281,3.47072,nan,nan,nan,nan,nan,nan
0.052,-0.734802,-1.75431,2.43276,-1.56192,-3.90282,3.47074,nan,nan,nan,nan,nan,nan
0.064,-0.734823,-1.75431,2.43278,-1.56192,-3.90283,3.47077,nan,nan,nan,nan,nan,nan
0.076,-0.73484,-1.7543,2.43279,-1.56192,-3.90284,3.47079,nan,nan,nan,nan,nan,nan
0.088,-0.734856,-1.7543,2.4328,-1.56192,-3.90285,3.47081,nan,nan,nan,nan,nan,nan
0.1,-0.734871,-1.7543,2.43281,-1.56192,-3.90286,3.47082,nan,nan,nan,nan,nan,nan
0.11,-0.734883,-1.7543,2.43282,-1.56192,-3.90287,3.47084,nan,nan,nan,nan,nan,nan
0.124,-0.734899,-1.7543,2.43284,-1.56193,-3.90288,3.47086,nan,nan,nan,nan,nan,nan
0.134,-0.734909,-1.7543,2.43284,-1.56193,-3.90288,3.47087,nan,nan,nan,nan,nan,nan
0.146,-0.734909,-1.7543,2.43284,-1.56193,-3.90288,3.47087,nan,nan,nan,nan,nan,nan
0.156,-0.734919,-1.75429,2.43285,-1.56193,-3.90289,3.47088,nan,nan,nan,nan,nan,nan
0.176,-0.734902,-1.7543,2.43284,-1.56192,-3.90288,3.47086,nan,nan,nan,nan,nan,nan
0.19,-0.734888,-1.7543,2.43283,-1.56192,-3.90287,3.47084,nan,nan,nan,nan,nan,nan
0.2,-0.734856,-1.7543,2.4328,-1.56192,-3.90285,3.47081,nan,nan,nan,nan,nan,nan
0.21,-0.734829,-1.7543,2.43278,-1.56191,-3.90283,3.47077,nan,nan,nan,nan,nan,nan
0.22,-0.734756,-1.75431,2.43272,-1.5619,-3.90278,3.47069,nan,nan,nan,nan,nan,nan
0.232,-0.734673,-1.75432,2.43266,-1.56189,-3.90273,3.47059,nan,nan,nan,nan,nan,nan
0.244,-0.734588,-1.75433,2.43259,-1.56188,-3.90268,3.4705,nan,nan,nan,nan,nan,nan
0.254,-0.734502,-1.75434,2.43252,-1.56187,-3.90262,3.4704,nan,nan,nan,nan,nan,nan
0.266,-0.734326,-1.75436,2.43238,-1.56185,-3.90251,3.4702,nan,nan,nan,nan,nan,nan
0.276,-0.734204,-1.75437,2.43228,-1.56183,-3.90243,3.47005,nan,nan,nan,nan,nan,nan
0.286,-0.734027,-1.75439,2.43214,-1.56181,-3.90232,3.46985,nan,nan,nan,nan,nan,nan
0.296,-0.73382,-1.75442,2.43197,-1.56178,-3.90219,3.46961,nan,nan,nan,nan,nan,nan
0.306,-0.733589,-1.75445,2.43179,-1.56176,-3.90204,3.46935,nan,nan,nan,nan,nan,nan
0.316,-0.733331,-1.75448,2.43158,-1.56172,-3.90188,3.46906,nan,nan,nan,nan,nan,nan
0.326,-0.733048,-1.75451,2.43135,-1.56169,-3.9017,3.46873,nan,nan,nan,nan,nan,nan
0.336,-0.732736,-1.75455,2.4311,-1.56165,-3.9015,3.46838,nan,nan,nan,nan,nan,nan
0.346,-0.732396,-1.75459,2.43082,-1.56161,-3.90129,3.46799,nan,nan,nan,nan,nan,nan
0.356,-0.732027,-1.75464,2.43052,-1.56156,-3.90106,3.46756,nan,nan,nan,nan,nan,nan
0.366,-0.731627,-1.75469,2.4302,-1.56151,-3.9008,3.46711,nan,nan,nan,nan,nan,nan
0.376,-0.731195,-1.75475,2.42985,-1.56146,-3.90053,3.46662,nan,nan,nan,nan,nan,nan
0.386,-0.730732,-1.75481,2.42948,-1.56141,-3.90024,3.46609,nan,nan,nan,nan,nan,nan
0.396,-0.730236,-1.75487,2.42908,-1.56135,-3.89993,3.46552,nan,nan,nan,nan,nan,nan
0.406,-0.729707,-1.75494,2.42865,-1.56128,-3.8996,3.46492,nan,nan,nan,nan,nan,nan
0.416,-0.729143,-1.75501,2.42819,-1.56121,-3.89924,3.46427,nan,nan,nan,nan,nan,nan
0.426,-0.728545,-1.75509,2.42771,-1.56114,-3.89887,3.46359,nan,nan,nan,nan,nan,nan
0.436,-0.727911,-1.75517,2.42719,-1.56107,-3.89847,3.46287,nan,nan,nan,nan,nan,nan
0.446,-0.727241,-1.75526,2.42665,-1.56099,-3.89805,3.4621,nan,nan,nan,nan,nan,nan
0.456,-0.726595,-1.75535,2.42612,-1.56091,-3.89765,3.46137,nan,nan,nan,nan,nan,nan
0.466,-0.725859,-1.75544,2.42553,-1.56082,-3.89718,3.46053,nan,nan,nan,nan,nan,nan
0.476,-0.725075,-1.75554,2.4249,-1.56073,-3.89669,3.45963,nan,nan,nan,nan,nan,nan
0.486,-0.724253,-1.75565,2.42423,-1.56063,-3.89617,3.4587,nan,nan,nan,nan,nan,nan
0.496,-0.723356,-1.75576,2.4235,-1.56052,-3.89561,3.45766,nan,nan,nan,nan,nan,nan
0.506,-0.72231,-1.75586,2.42265,-1.56041,-3.89495,3.45645,nan,nan,nan,nan,nan,nan
0.516,-0.721108,-1.75597,2.42165,-1.5603,-3.8942,3.45504,nan,nan,nan,nan,nan,nan
0.526,-0.719752,-1.75608,2.42052,-1.56019,-3.89336,3.45344,nan,nan,nan,nan,nan,nan
0.536,-0.718243,-1.7562,2.41925,-1.56009,-3.89243,3.45166,nan,nan,nan,nan,nan,nan
0.546,-0.716583,-1.75632,2.41784,-1.55998,-3.89142,3.44969,nan,nan,nan,nan,nan,nan
0.556,-0.714774,-1.75645,2.41631,-1.55987,-3.89031,3.44753,nan,nan,nan,nan,nan,nan
0.566,-0.712816,-1.75658,2.41464,-1.55977,-3.88913,3.44519,nan,nan,nan,nan,nan,nan
0.576,-0.710713,-1.75672,2.41284,-1.55966,-3.88785,3.44268,nan,nan,nan,nan,nan,nan
0.586,-0.708465,-1.75687,2.4109,-1.55956,-3.88649,3.43999,nan,nan,nan,nan,nan,nan
0.596,-0.706073,-1.75702,2.40885,-1.55945,-3.88505,3.43712,nan,nan,nan,nan,nan,nan
0.606,-0.70354,-1.75717,2.40666,-1.55935,-3.88352,3.43407,nan,nan,nan,nan,nan,nan
0.616,-0.700865,-1.75733,2.40435,-1.55924,-3.88191,3.43086,nan,nan,nan,nan,nan,nan
0.626,-0.698051,-1.7575,2.40192,-1.55914,-3.88022,3.42747,nan,nan,nan,nan,nan,nan
0.636,-0.69512,-1.75767,2.39937,-1.55904,-3.87846,3.42394,nan,nan,nan,nan,nan,nan
0.646,-0.692181,-1.75784,2.39681,-1.55896,-3.87671,3.4204,nan,nan,nan,nan,nan,nan
0.656,-0.68925,-1.75801,2.39424,-1.5589,-3.87498,3.41685,nan,nan,nan,nan,nan,nan
0.666,-0.686324,-1.75815,2.39166,-1.55885,-3.87325,3.4133,nan,nan,nan,nan,nan,nan
0.676,-0.683402,-1.75829,2.38908,-1.55882,-3.87153,3.40974,nan,nan,nan,nan,nan,nan
0.686,-0.680483,-1.75841,2.38648,-1.5588,-3.86981,3.40618,nan,nan,nan,nan,nan,nan
0.696,-0.677568,-1.75852,2.38389,-1.55879,-3.86811,3.40261,nan,nan,nan,nan,nan,nan
0.706,-0.674657,-1.75862,2.38129,-1.55879,-3.8664,3.39903,nan,nan,nan,nan,nan,nan
0.716,-0.671754,-1.75871,2.37868,-1.55881,-3.86471,3.39545,nan,nan,nan,nan,nan,nan
0.726,-0.668862,-1.75878,2.37608,-1.55883,-3.86303,3.39188,nan,nan,nan,nan,nan,nan
0.736,-0.665983,-1.75885,2.37348,-1.55887,-3.86136,3.38832,nan,nan,nan,nan,nan,nan
0.746,-0.663123,-1.75891,2.37089,-1.55891,-3.8597,3.38477,nan,nan,nan,nan,nan,nan
0.756,-0.660307,-1.75897,2.36834,-1.55896,-3.85807,3.38128,nan,nan,nan,nan,nan,nan
0.766,-0.657614,-1.75903,2.36589,-1.55902,-3.85653,3.37794,nan,nan,nan,nan,nan,nan
0.776,-0.655051,-1.75909,2.36356,-1.55908,-3.85505,3.37476,nan,nan,nan,nan,nan,nan
0.786,-0.652613,-1.75915,2.36134,-1.55913,-3.85365,3.37174,nan,nan,nan,nan,nan,nan
0.796,-0.650292,-1.7592,2.35923,-1.55918,-3.85232,3.36886,nan,nan,nan,nan,nan,nan
0.806,-0.648084,-1.75925,2.35722,-1.55923,-3.85104,3.36612,nan,nan,nan,nan,nan,nan
0.816,-0.645983,-1.7593,2.35531,-1.55927,-3.84983,3.36352,nan,nan,nan,nan,nan,nan
0.826,-0.643984,-1.75934,2.35349,-1.55931,-3.84868,3.36103,nan,nan,nan,nan,nan,nan
0.836,-0.642081,-1.75938,2.35176,-1.55935,-3.84759,3.35867,nan,nan,nan,nan,nan,nan
0.846,-0.64027,-1.75942,2.35012,-1.55939,-3.84654,3.35643,nan,nan,nan,nan,nan,nan
0.856,-0.638547,-1.75945,2.34855,-1.55942,-3.84555,3.35429,nan,nan,nan,nan,nan,nan
0.866,-0.636907,-1.75949,2.34706,-1.55946,-3.84461,3.35225,nan,nan,nan,nan,nan,nan
0.876,-0.635347,-1.75952,2.34565,-1.55949,-3.84371,3.35032,nan,nan,nan,nan,nan,nan
0.886,-0.633863,-1.75955,2.3443,-1.55952,-3.84285,3.34847,nan,nan,nan,nan,nan,nan
0.896,-0.63245,-1.75957,2.34302,-1.55955,-3.84204,3.34672,nan,nan,nan,nan,nan,nan
0.906,-0.631107,-1.7596,2.3418,-1.55957,-3.84126,3.34505,nan,nan,nan,nan,nan,nan
0.916,-0.629828,-1.75962,2.34064,-1.5596,-3.84052,3.34346,nan,nan,nan,nan,nan,nan
0.926,-0.628611,-1.75964,2.33953,-1.55962,-3.83982,3.34195,nan,nan,nan,nan,nan,nan
0.936,-0.627454,-1.75966,2.33848,-1.55964,-3.83915,3.34051,nan,nan,nan,nan,nan,nan
0.946,-0.626353,-1.75968,2.33748,-1.55967,-3.83852,3.33914,nan,nan,nan,nan,nan,nan
0.956,-0.625306,-1.7597,2.33653,-1.55969,-3.83791,3.33784,nan,nan,nan,nan,nan,nan
0.966,-0.624309,-1.75971,2.33563,-1.5597,-3.83733,3.3366,nan,nan,nan,nan,nan,nan
0.976,-0.623362,-1.75973,2.33477,-1.55972,-3.83679,3.33543,nan,nan,nan,nan,nan,nan
0.986,-0.622461,-1.75974,2.33395,-1.55974,-3.83626,3.3343,nan,nan,nan,nan,nan,nan
0.996,-0.621604,-1.75976,2.33318,-1.55975,-3.83577,3.33324,nan,nan,nan,nan,nan,nan
1.006,-0.620789,-1.75977,2.33244,-1.55977,-3.8353,3.33222,nan,nan,nan,nan,nan,nan
1.016,-0.620014,-1.75978,2.33174,-1.55978,-3.83485,3.33126,nan,nan,nan,nan,nan,nan
1.026,-0.619277,-1.75979,2.33107,-1.5598,-3.83442,3.33034,nan,nan,nan,nan,nan,nan
1.036,-0.618577,-1.7598,2.33044,-1.55981,-3.83402,3.32947,nan,nan,nan,nan,nan,nan
1.046,-0.617911,-1.75981,2.32983,-1.55982,-3.83363,3.32864,nan,nan,nan,nan,nan,nan
1.056,-0.617278,-1.75982,2.32926,-1.55983,-3.83326,3.32786,nan,nan,nan,nan,nan,nan
1.066,-0.616677,-1.75982,2.32872,-1.55984,-3.83291,3.32711,nan,nan,nan,nan,nan,nan
1.076,-0.616105,-1.75983,2.3282,-1.55985,-3.83258,3.32639,nan,nan,nan,nan,nan,nan
1.086,-0.615561,-1.75984,2.32771,-1.55986,-3.83227,3.32572,nan,nan,nan,nan,nan,nan
1.096,-0.615045,-1.75984,2.32724,-1.55987,-3.83196,3.32507,nan,nan,nan,nan,nan,nan
1.106,-0.614553,-1.75985,2.3268,-1.55987,-3.83168,3.32446,nan,nan,nan,nan,nan,nan
