time_sec,x,y,z
0,-0.359378,-0.219866,0.0860542
0.012,-0.359372,-0.219861,0.0860563
0.022,-0.359365,-0.219856,0.0860585
0.044,-0.359359,-0.219851,0.0860605
0.056,-0.359353,-0.219846,0.0860625
0.07,-0.359349,-0.219842,0.086064
0.08,-0.359341,-0.219835,0.0860666
0.092,-0.35934,-0.219834,0.086067
0.102,-0.359337,-0.219832,0.0860679
0.112,-0.359333,-0.219829,0.0860693
0.122,-0.359331,-0.219827,0.0860699
0.138,-0.359327,-0.219823,0.0860715
0.148,-0.359325,-0.219821,0.0860721
0.162,-0.359321,-0.219818,0.0860734
0.172,-0.359321,-0.219819,0.0860734
0.182,-0.359325,-0.219823,0.0860722
0.194,-0.359329,-0.219827,0.0860707
0.204,-0.359336,-0.219833,0.0860684
0.214,-0.359345,-0.219842,0.0860653
0.228,-0.359366,-0.219859,0.0860583
0.238,-0.359381,-0.219872,0.086053
0.248,-0.359407,-0.219892,0.0860441
0.26,-0.359442,-0.219922,0.086032
0.272,-0.359488,-0.219959,0.0860161
0.282,-0.359535,-0.219998,0.086
0.294,-0.35959,-0.220042,0.0859809
0.304,-0.359647,-0.220084,0.0859611
0.314,-0.359701,-0.220125,0.0859421
0.324,-0.359777,-0.220191,0.0859165
0.334,-0.35987,-0.220265,0.0858844
0.344,-0.359974,-0.220347,0.0858483
0.354,-0.360089,-0.220437,0.0858086
0.364,-0.360214,-0.220535,0.0857654
0.374,-0.36035,-0.22064,0.0857184
0.384,-0.360497,-0.220754,0.0856677
0.394,-0.360655,-0.220877,0.0856132
0.404,-0.360825,-0.221008,0.0855546
0.414,-0.361007,-0.221148,0.085492
0.424,-0.361201,-0.221298,0.0854253
0.434,-0.361408,-0.221457,0.0853544
0.444,-0.361627,-0.221625,0.0852792
0.454,-0.36186,-0.221803,0.0851997
0.464,-0.362106,-0.22199,0.0851158
0.474,-0.362365,-0.222188,0.0850274
0.484,-0.362638,-0.222395,0.0849346
0.494,-0.362925,-0.222613,0.0848372
0.504,-0.363226,-0.22284,0.0847355
0.514,-0.363558,-0.2231,0.0846224
0.524,-0.363941,-0.223407,0.0844899
0.534,-0.364381,-0.223762,0.084335
0.544,-0.364879,-0.224164,0.0841579
0.554,-0.365435,-0.224612,0.0839589
0.564,-0.366047,-0.225105,0.0837384
0.574,-0.366716,-0.225643,0.083497
0.584,-0.367442,-0.226225,0.0832351
0.594,-0.368224,-0.22685,0.0829531
0.604,-0.369062,-0.227517,0.0826515
0.614,-0.369956,-0.228226,0.0823309
0.624,-0.370907,-0.228976,0.0819917
0.634,-0.371851,-0.229693,0.0816546
0.644,-0.372883,-0.230521,0.0812921
0.654,-0.373986,-0.231378,0.080904
0.664,-0.375108,-0.232235,0.080509
0.674,-0.376233,-0.233092,0.0801132
0.684,-0.377359,-0.233948,0.0797175
0.694,-0.378487,-0.234806,0.0793218
0.704,-0.379616,-0.235664,0.0789263
0.714,-0.380748,-0.236523,0.0785311
0.724,-0.381881,-0.237381,0.0781365
0.734,-0.383015,-0.238237,0.077743
0.744,-0.384147,-0.239091,0.0773512
0.754,-0.385278,-0.23994,0.0769616
0.764,-0.386405,-0.240785,0.0765747
0.774,-0.387514,-0.241606,0.076196
0.784,-0.388581,-0.242386,0.0758335
0.794,-0.3896,-0.243126,0.0754898
0.804,-0.390572,-0.243829,0.0751646
0.814,-0.391499,-0.244495,0.0748569
0.824,-0.39238,-0.245127,0.0745663
0.834,-0.39322,-0.245728,0.074291
0.844,-0.394022,-0.246299,0.0740304
0.854,-0.394786,-0.246841,0.0737832
0.864,-0.395514,-0.247355,0.0735491
0.874,-0.396208,-0.247844,0.0733273
0.884,-0.396869,-0.248309,0.0731171
0.894,-0.397498,-0.24875,0.072918
0.904,-0.398097,-0.249169,0.0727293
0.914,-0.398668,-0.249567,0.0725505
0.924,-0.399211,-0.249945,0.072381
0.934,-0.399728,-0.250305,0.0722204
0.944,-0.400221,-0.250647,0.072068
0.954,-0.400689,-0.250971,0.0719236
0.964,-0.401135,-0.25128,0.0717867
0.974,-0.401559,-0.251573,0.0716569
0.984,-0.401963,-0.251852,0.0715339
0.994,-0.402347,-0.252117,0.0714172
1.004,-0.402712,-0.252368,0.0713065
1.014,-0.403059,-0.252608,0.0712016
1.024,-0.40339,-0.252835,0.0711021
1.034,-0.403704,-0.253051,0.0710078
1.044,-0.404002,-0.253256,0.0709183
1.054,-0.404286,-0.253451,0.0708335
1.064,-0.404556,-0.253636,0.0707531
1.074,-0.404812,-0.253812,0.0706769
1.084,-0.405056,-0.253979,0.0706046
1.094,-0.405288,-0.254138,0.0705361
1.104,-0.405508,-0.254289,0.0704711
1.114,-0.405717,-0.254432,0.0704095
1.124,-0.405916,-0.254569,0.070351
1.134,-0.406105,-0.254698,0.0702955
1.144,-0.406284,-0.254821,0.0702429
1.154,-0.406455,-0.254939,0.070193
1.164,-0.406617,-0.25505,0.0701457
1.174,-0.406771,-0.255155,0.0701008
1.184,-0.406917,-0.255256,0.0700582
1.194,-0.407056,-0.255352,0.0700178
1.204,-0.407188,-0.255442,0.0699795
1.214,-0.407314,-0.255529,0.0699431
1.224,-0.407433,-0.255611,0.0699086
1.234,-0.407546,-0.255689,0.0698758
1.244,-0.407654,-0.255763,0.0698448
1.254,-0.407756,-0.255833,0.0698153
1.264,-0.407853,-0.2559,0.0697873
1.274,-0.407946,-0.255964,0.0697607
1.284,-0.408033,-0.256025,0.0697355
1.294,-0.408117,-0.256082,0.0697116
1.304,-0.408196,-0.256137,0.0696889
1.314,-0.408271,-0.256189,0.0696674
1.324,-0.408342,-0.256238,0.069647
1.334,-0.40841,-0.256285,0.0696276
1.344,-0.408475,-0.25633,0.0696092
1.354,-0.408536,-0.256373,0.0695917
1.364,-0.408594,-0.256413,0.0695751
1.374,-0.408649,-0.256452,0.0695594
1.384,-0.408702,-0.256488,0.0695444
1.394,-0.408751,-0.256523,0.0695302
1.404,-0.408799,-0.256556,0.0695168
1.414,-0.408844,-0.256587,0.069504
1.424,-0.408887,-0.256617,0.0694919
1.434,-0.408927,-0.256646,0.0694804
1.444,-0.408966,-0.256673,0.0694694
1.454,-0.409002,-0.256698,0.0694591
1.464,-0.409037,-0.256723,0.0694492
1.474,-0.40907,-0.256746,0.0694399
1.484,-0.409102,-0.256768,0.069431
1.494,-0.409131,-0.256789,0.0694226
1.504,-0.40916,-0.256809,0.0694146
1.514,-0.409187,-0.256828,0.069407
1.524,-0.409212,-0.256846,0.0693998
1.534,-0.409236,-0.256863,0.0693929
1.544,-0.409259,-0.256879,0.0693865
1.554,-0.409281,-0.256895,0.0693803
1.564,-0.409302,-0.25691,0.0693744
1.574,-0.409322,-0.256924,0.0693689
1.584,-0.409341,-0.256937,0.0693636
1.594,-0.409358,-0.25695,0.0693586
1.604,-0.409375,-0.256962,0.0693539
1.614,-0.409392,-0.256973,0.0693494
1.624,-0.409407,-0.256984,0.0693451
1.634,-0.409421,-0.256994,0.069341
1.644,-0.409435,-0.257004,0.0693371
1.654,-0.409448,-0.257014,0.0693335
1.664,-0.409461,-0.257023,0.06933
1.674,-0.409472,-0.257031,0.0693267
1.684,-0.409484,-0.257039,0.0693236
1.694,-0.409494,-0.257047,0.0693206
1.704,-0.409504,-0.257054,0.0693178
1.714,-0.409514,-0.257061,0.0693151
1.724,-0.409523,-0.257068,0.0693125
1.734,-0.409532,-0.257074,0.0693101
1.744,-0.40954,-0.25708,0.0693078
1.754,-0.409548,-0.257085,0.0693056
1.764,-0.409555,-0.257091,0.0693036
1.774,-0.409562,-0.257096,0.0693016
1.784,-0.409569,-0.257101,0.0692997
1.794,-0.409575,-0.257105,0.069298
1.804,-0.409581,-0.25711,0.0692963
1.814,-0.409587,-0.257114,0.0692947
1.824,-0.409593,-0.257118,0.0692932
1.834,-0.409598,-0.257122,0.0692917
1.844,-0.409603,-0.257125,0.0692904
1.854,-0.409607,-0.257129,0.0692891
1.864,-0.409612,-0.257132,0.0692879
1.874,-0.409616,-0.257135,0.0692867
1.884,-0.40962,-0.257138,0.0692856
1.894,-0.409624,-0.257141,0.0692845
1.904,-0.409628,-0.257144,0.0692835
1.914,-0.409631,-0.257146,0.0692826
