time_sec,left_shoulder_pan_joint_desired_pos,left_shoulder_pan_joint_desired_vel,left_shoulder_pan_joint_actual_pos,left_shoulder_pan_joint_actual_vel,left_shoulder_pan_joint_error_pos,left_shoulder_pan_joint_error_vel,left_shoulder_lift_joint_desired_pos,left_shoulder_lift_joint_desired_vel,left_shoulder_lift_joint_actual_pos,left_shoulder_lift_joint_actual_vel,left_shoulder_lift_joint_error_pos,left_shoulder_lift_joint_error_vel,left_elbow_joint_desired_pos,left_elbow_joint_desired_vel,left_elbow_joint_actual_pos,left_elbow_joint_actual_vel,left_elbow_joint_error_pos,left_elbow_joint_error_vel,left_wrist_1_joint_desired_pos,left_wrist_1_joint_desired_vel,left_wrist_1_joint_actual_pos,left_wrist_1_joint_actual_vel,left_wrist_1_joint_error_pos,left_wrist_1_joint_error_vel,left_wrist_2_joint_desired_pos,left_wrist_2_joint_desired_vel,left_wrist_2_joint_actual_pos,left_wrist_2_joint_actual_vel,left_wrist_2_joint_error_pos,left_wrist_2_joint_error_vel,left_wrist_3_joint_desired_pos,left_wrist_3_joint_desired_vel,left_wrist_3_joint_actual_pos,left_wrist_3_joint_actual_vel,left_wrist_3_joint_error_pos,left_wrist_3_joint_error_vel
0,-0.735112,-2.32337e-17,-0.734828,-0.0014458,-0.000284025,0,-1.75428,3.35308e-18,-1.75431,0.000150851,2.75403e-05,0,2.433,1.81885e-17,2.43278,0.00113976,0.000222959,0,-1.56195,-2.27027e-18,-1.56192,-0.000138349,-2.84824e-05,0,-3.90301,-1.4508e-17,-3.90283,-0.000914214,-0.000180858,0,3.47112,2.79873e-17,3.47077,0.0017635,0.000347374,0
0.01,-0.735112,-2.32337e-17,-0.734848,-0.00134683,-0.000264583,0,-1.75428,3.35308e-18,-1.7543,0.000139815,2.55176e-05,0,2.433,1.81885e-17,2.4328,0.00106142,0.000207636,0,-1.56195,-2.27027e-18,-1.56192,-0.000129319,-2.66185e-05,0,-3.90301,-1.4508e-17,-3.90285,-0.000852059,-0.000168561,0,3.47112,2.79873e-17,3.4708,0.0016431,0.000323658,0
0.032,-0.735112,-2.32337e-17,-0.734866,-0.00125464,-0.000246473,0,-1.75428,3.35308e-18,-1.7543,0.000129583,2.36429e-05,0,2.433,1.81885e-17,2.43281,0.000988469,0.000193365,0,-1.56195,-2.27027e-18,-1.56192,-0.000120877,-2.48762e-05,0,-3.90301,-1.4508e-17,-3.90286,-0.000794129,-0.0001571,0,3.47112,2.79873e-17,3.47082,0.00153092,0.000301561,0
0.044,-0.735112,-2.32337e-17,-0.734883,-0.00116876,-0.000229602,0,-1.75428,3.35308e-18,-1.7543,0.000120098,2.19055e-05,0,2.433,1.81885e-17,2.43282,0.00092053,0.000180076,0,-1.56195,-2.27027e-18,-1.56192,-0.000112985,-2.32476e-05,0,-3.90301,-1.4508e-17,-3.90287,-0.000740138,-0.000146419,0,3.47112,2.79873e-17,3.47084,0.0014264,0.000280972,0
0.058,-0.735112,-2.32337e-17,-0.734896,-0.00109984,-0.000216063,0,-1.75428,3.35308e-18,-1.7543,0.000112521,2.05178e-05,0,2.433,1.81885e-17,2.43283,0.000866026,0.000169414,0,-1.56195,-2.27027e-18,-1.56193,-0.00010663,-2.19367e-05,0,-3.90301,-1.4508e-17,-3.90288,-0.000696791,-0.000137843,0,3.47112,2.79873e-17,3.47085,0.00134251,0.000264448,0
0.068,-0.735112,-2.32337e-17,-0.734919,-0.00098387,-0.000193282,0,-1.75428,3.35308e-18,-1.7543,9.98445e-05,1.81972e-05,0,2.433,1.81885e-17,2.43285,0.000774346,0.000151481,0,-1.56195,-2.27027e-18,-1.56193,-9.58911e-05,-1.97217e-05,0,-3.90301,-1.4508e-17,-3.90289,-0.000623807,-0.000123404,0,3.47112,2.79873e-17,3.47088,0.00120132,0.000236635,0
0.08,-0.735112,-2.32337e-17,-0.734923,-0.000964138,-0.000189406,0,-1.75428,3.35308e-18,-1.7543,9.76976e-05,1.78043e-05,0,2.433,1.81885e-17,2.43285,0.000758752,0.00014843,0,-1.56195,-2.27027e-18,-1.56193,-9.40578e-05,-1.93437e-05,0,-3.90301,-1.4508e-17,-3.90289,-0.000611383,-0.000120946,0,3.47112,2.79873e-17,3.47089,0.00117729,0.000231902,0
0.09,-0.735112,-2.32337e-17,-0.73493,-0.000925854,-0.000181885,0,-1.75428,3.35308e-18,-1.7543,9.35408e-05,1.70436e-05,0,2.433,1.81885e-17,2.43286,0.000728498,0.000142512,0,-1.56195,-2.27027e-18,-1.56193,-9.04953e-05,-1.86091e-05,0,-3.90301,-1.4508e-17,-3.9029,-0.000587273,-0.000116176,0,3.47112,2.79873e-17,3.4709,0.00113067,0.000222718,0
0.1,-0.735112,-2.32337e-17,-0.734943,-0.000862479,-0.000169435,0,-1.75428,3.35308e-18,-1.75429,8.6686e-05,1.57895e-05,0,2.433,1.81885e-17,2.43287,0.000678428,0.000132718,0,-1.56195,-2.27027e-18,-1.56193,-8.45817e-05,-1.739e-05,0,-3.90301,-1.4508e-17,-3.90291,-0.000547345,-0.000108277,0,3.47112,2.79873e-17,3.47091,0.00105347,0.000207513,0
0.11,-0.735112,-2.32337e-17,-0.734948,-0.000836664,-0.000164364,0,-1.75428,3.35308e-18,-1.75429,8.39036e-05,1.52805e-05,0,2.433,1.81885e-17,2.43287,0.000658038,0.000128729,0,-1.56195,-2.27027e-18,-1.56193,-8.21667e-05,-1.68922e-05,0,-3.90301,-1.4508e-17,-3.90291,-0.000531075,-0.000105058,0,3.47112,2.79873e-17,3.47092,0.00102202,0.000201318,0
