time_sec,q0,q1,q2,q3,q4,q5,tau0,tau1,tau2,tau3,tau4,tau5
0,-0.734731,-1.75432,2.4327,-1.56191,-3.90277,3.47065,nan,nan,nan,nan,nan,nan
0.01,-0.734743,-1.75432,2.43271,-1.56191,-3.90278,3.47067,nan,nan,nan,nan,nan,nan
0.02,-0.734765,-1.75431,2.43273,-1.56191,-3.90279,3.47069,nan,nan,nan,nan,nan,nan
0.032,-0.734785,-1.75431,2.43275,-1.56191,-3.90281,3.47072,nan,nan,nan,nan,nan,nan
0.046,-0.73481,-1.75431,2.43277,-1.56192,-3.90282,3.47075,nan,nan,nan,nan,nan,nan
0.058,-0.734828,-1.75431,2.43278,-1.56192,-3.90283,3.47077,nan,nan,nan,nan,nan,nan
0.068,-0.734848,-1.7543,2.4328,-1.56192,-3.90285,3.4708,nan,nan,nan,nan,nan,nan
0.09,-0.734866,-1.7543,2.43281,-1.56192,-3.90286,3.47082,nan,nan,nan,nan,nan,nan
0.102,-0.734883,-1.7543,2.43282,-1.56192,-3.90287,3.47084,nan,nan,nan,nan,nan,nan
0.116,-0.734896,-1.7543,2.43283,-1.56193,-3.90288,3.47085,nan,nan,nan,nan,nan,nan
0.126,-0.734919,-1.7543,2.43285,-1.56193,-3.90289,3.47088,nan,nan,nan,nan,nan,nan
0.138,-0.734923,-1.7543,2.43285,-1.56193,-3.90289,3.47089,nan,nan,nan,nan,nan,nan
0.148,-0.73493,-1.7543,2.43286,-1.56193,-3.9029,3.4709,nan,nan,nan,nan,nan,nan
0.158,-0.734943,-1.75429,2.43287,-1.56193,-3.90291,3.47091,nan,nan,nan,nan,nan,nan
0.168,-0.734948,-1.75429,2.43287,-1.56193,-3.90291,3.47092,nan,nan,nan,nan,nan,nan
0.184,-0.734962,-1.75429,2.43289,-1.56193,-3.90292,3.47093,nan,nan,nan,nan,nan,nan
0.194,-0.734968,-1.75429,2.43289,-1.56193,-3.90292,3.47094,nan,nan,nan,nan,nan,nan
0.208,-0.734979,-1.75429,2.4329,-1.56193,-3.90293,3.47096,nan,nan,nan,nan,nan,nan
0.218,-0.734976,-1.75429,2.4329,-1.56193,-3.90293,3.47095,nan,nan,nan,nan,nan,nan
0.228,-0.734963,-1.75429,2.43289,-1.56193,-3.90292,3.47094,nan,nan,nan,nan,nan,nan
0.24,-0.734948,-1.75429,2.43288,-1.56193,-3.90291,3.47092,nan,nan,nan,nan,nan,nan
0.25,-0.73493,-1.75429,2.43286,-1.56193,-3.9029,3.4709,nan,nan,nan,nan,nan,nan
0.26,-0.734898,-1.7543,2.43284,-1.56192,-3.90287,3.47086,nan,nan,nan,nan,nan,nan
0.274,-0.734838,-1.7543,2.43279,-1.56191,-3.90284,3.47079,nan,nan,nan,nan,nan,nan
0.284,-0.734791,-1.75431,2.43275,-1.56191,-3.90281,3.47073,nan,nan,nan,nan,nan,nan
0.294,-0.73472,-1.75432,2.43269,-1.5619,-3.90276,3.47065,nan,nan,nan,nan,nan,nan
0.306,-0.734614,-1.75433,2.43261,-1.56188,-3.90269,3.47053,nan,nan,nan,nan,nan,nan
0.318,-0.73448,-1.75434,2.4325,-1.56187,-3.90261,3.47038,nan,nan,nan,nan,nan,nan
0.328,-0.734344,-1.75436,2.43239,-1.56185,-3.90252,3.47022,nan,nan,nan,nan,nan,nan
0.34,-0.734186,-1.75438,2.43227,-1.56183,-3.90242,3.47004,nan,nan,nan,nan,nan,nan
0.35,-0.734031,-1.7544,2.43214,-1.56181,-3.90232,3.46986,nan,nan,nan,nan,nan,nan
0.36,-0.733884,-1.75442,2.43202,-1.5618,-3.90223,3.46969,nan,nan,nan,nan,nan,nan
0.37,-0.733653,-1.75444,2.43184,-1.56176,-3.90208,3.46943,nan,nan,nan,nan,nan,nan
0.38,-0.733385,-1.75447,2.43162,-1.56173,-3.90191,3.46912,nan,nan,nan,nan,nan,nan
0.39,-0.73309,-1.75451,2.43138,-1.56169,-3.90173,3.46878,nan,nan,nan,nan,nan,nan
0.4,-0.732767,-1.75455,2.43112,-1.56165,-3.90152,3.46841,nan,nan,nan,nan,nan,nan
0.41,-0.732416,-1.75459,2.43084,-1.56161,-3.9013,3.46801,nan,nan,nan,nan,nan,nan
0.42,-0.732035,-1.75464,2.43053,-1.56156,-3.90106,3.46758,nan,nan,nan,nan,nan,nan
0.43,-0.731624,-1.75469,2.4302,-1.56151,-3.9008,3.46711,nan,nan,nan,nan,nan,nan
0.44,-0.731181,-1.75475,2.42984,-1.56146,-3.90052,3.4666,nan,nan,nan,nan,nan,nan
0.45,-0.730707,-1.75481,2.42946,-1.5614,-3.90022,3.46606,nan,nan,nan,nan,nan,nan
0.46,-0.730199,-1.75488,2.42905,-1.56134,-3.89991,3.46548,nan,nan,nan,nan,nan,nan
0.47,-0.729658,-1.75495,2.42861,-1.56127,-3.89957,3.46486,nan,nan,nan,nan,nan,nan
0.48,-0.729083,-1.75502,2.42814,-1.56121,-3.8992,3.46421,nan,nan,nan,nan,nan,nan
0.49,-0.728474,-1.7551,2.42765,-1.56113,-3.89882,3.46351,nan,nan,nan,nan,nan,nan
0.5,-0.727829,-1.75518,2.42713,-1.56105,-3.89842,3.46278,nan,nan,nan,nan,nan,nan
0.51,-0.727147,-1.75527,2.42657,-1.56097,-3.89799,3.462,nan,nan,nan,nan,nan,nan
