time_sec,x,y,z
0,-0.360549,-0.269456,0.0860493
0.01,-0.360542,-0.269454,0.0860513
0.02,-0.360535,-0.269452,0.0860531
0.03,-0.360533,-0.269453,0.0860531
0.04,-0.360534,-0.269454,0.0860524
0.05,-0.360538,-0.269456,0.0860511
0.06,-0.360545,-0.269458,0.0860489
0.07,-0.360557,-0.269462,0.0860452
0.08,-0.360575,-0.269468,0.0860396
0.09,-0.360601,-0.269476,0.0860315
0.1,-0.360638,-0.269487,0.0860203
0.11,-0.360687,-0.269502,0.0860055
0.12,-0.36075,-0.269519,0.0859868
0.13,-0.360829,-0.269541,0.0859635
0.14,-0.360924,-0.269567,0.0859354
0.15,-0.361039,-0.269597,0.085902
0.16,-0.361173,-0.269632,0.0858628
0.17,-0.36133,-0.269673,0.0858177
0.18,-0.361509,-0.269718,0.0857661
0.19,-0.361712,-0.269769,0.0857078
0.2,-0.36194,-0.269826,0.0856425
0.21,-0.362194,-0.269889,0.0855698
0.22,-0.362476,-0.269958,0.0854896
0.23,-0.362787,-0.270033,0.0854014
0.24,-0.363126,-0.270114,0.0853052
0.25,-0.363497,-0.270202,0.0852007
0.26,-0.363898,-0.270297,0.0850876
0.27,-0.364331,-0.270398,0.0849658
0.28,-0.36483,-0.27053,0.0848198
0.29,-0.365431,-0.270699,0.0846403
0.3,-0.366151,-0.270902,0.0844258
0.31,-0.366992,-0.271138,0.0841762
0.32,-0.367955,-0.271405,0.0838915
0.33,-0.369041,-0.271703,0.0835721
0.34,-0.37025,-0.27203,0.083218
0.35,-0.371582,-0.272386,0.0828297
0.36,-0.373036,-0.272769,0.082408
0.37,-0.374611,-0.273176,0.0819536
0.38,-0.376249,-0.273573,0.0814917
0.39,-0.377902,-0.273964,0.0810286
0.4,-0.37956,-0.274354,0.080565
0.41,-0.38122,-0.274743,0.0801012
0.42,-0.382882,-0.27513,0.0796377
0.43,-0.384545,-0.275515,0.0791747
0.44,-0.386208,-0.275897,0.0787128
0.45,-0.387868,-0.276275,0.0782526
0.46,-0.389517,-0.276643,0.0777985
0.47,-0.391115,-0.276981,0.0773652
0.48,-0.392641,-0.277295,0.0769543
0.49,-0.394094,-0.277589,0.0765648
0.5,-0.395475,-0.277864,0.0761954
0.51,-0.396789,-0.278121,0.0758451
0.52,-0.398038,-0.278362,0.0755129
0.53,-0.399225,-0.278589,0.0751979
0.54,-0.400353,-0.278802,0.0748991
0.55,-0.401425,-0.279002,0.0746158
0.56,-0.402444,-0.27919,0.0743469
0.57,-0.403414,-0.279367,0.0740917
0.58,-0.404335,-0.279533,0.0738495
0.59,-0.405211,-0.27969,0.0736196
0.6,-0.406044,-0.279837,0.0734014
0.61,-0.406835,-0.279976,0.0731943
0.62,-0.407586,-0.280107,0.0729976
0.63,-0.4083,-0.280231,0.072811
0.64,-0.408979,-0.280348,0.0726338
0.65,-0.409624,-0.280458,0.0724655
0.66,-0.410236,-0.280562,0.0723057
0.67,-0.410818,-0.280661,0.072154
0.68,-0.411371,-0.280754,0.0720099
0.69,-0.411896,-0.280842,0.0718731
0.7,-0.412395,-0.280926,0.0717432
0.71,-0.412869,-0.281005,0.0716197
0.72,-0.413319,-0.28108,0.0715025
0.73,-0.413746,-0.281151,0.0713912
0.74,-0.414152,-0.281218,0.0712854
0.75,-0.414538,-0.281282,0.0711849
0.76,-0.414904,-0.281342,0.0710895
0.77,-0.415252,-0.281399,0.0709988
0.78,-0.415583,-0.281454,0.0709126
0.79,-0.415897,-0.281505,0.0708308
0.8,-0.416195,-0.281554,0.0707531
0.81,-0.416478,-0.281601,0.0706792
0.82,-0.416747,-0.281645,0.070609
0.83,-0.417002,-0.281687,0.0705423
0.84,-0.417244,-0.281727,0.0704789
0.85,-0.417475,-0.281765,0.0704187
0.86,-0.417693,-0.281801,0.0703615
0.87,-0.417901,-0.281835,0.0703071
0.88,-0.418098,-0.281868,0.0702555
0.89,-0.418286,-0.281899,0.0702064
0.9,-0.418463,-0.281929,0.0701597
0.91,-0.418632,-0.281957,0.0701154
0.92,-0.418793,-0.281983,0.0700732
0.93,-0.418945,-0.282009,0.0700332
0.94,-0.419089,-0.282033,0.0699951
0.95,-0.419227,-0.282056,0.069959
0.96,-0.419357,-0.282078,0.0699246
0.97,-0.419481,-0.282099,0.0698919
0.98,-0.419598,-0.282119,0.0698609
0.99,-0.41971,-0.282138,0.0698314
1,-0.419816,-0.282156,0.0698033
1.01,-0.419917,-0.282173,0.0697767
1.02,-0.420012,-0.282189,0.0697514
1.03,-0.420103,-0.282205,0.0697273
1.04,-0.420189,-0.28222,0.0697044
1.05,-0.420271,-0.282234,0.0696827
1.06,-0.420349,-0.282247,0.069662
1.07,-0.420422,-0.28226,0.0696423
1.08,-0.420492,-0.282272,0.0696237
1.09,-0.420559,-0.282284,0.0696059
1.1,-0.420622,-0.282295,0.069589
1.11,-0.420682,-0.282306,0.069573
1.12,-0.420739,-0.282316,0.0695578
1.13,-0.420793,-0.282325,0.0695433
1.14,-0.420844,-0.282334,0.0695295
1.15,-0.420893,-0.282343,0.0695164
1.16,-0.420939,-0.282351,0.069504
1.17,-0.420983,-0.282359,0.0694921
1.18,-0.421025,-0.282367,0.0694809
1.19,-0.421065,-0.282374,0.0694702
1.2,-0.421102,-0.282381,0.0694601
1.21,-0.421138,-0.282387,0.0694504
1.22,-0.421172,-0.282394,0.0694412
1.23,-0.421204,-0.2824,0.0694325
1.24,-0.421234,-0.282405,0.0694242
1.25,-0.421263,-0.282411,0.0694163
1.26,-0.421291,-0.282416,0.0694089
1.27,-0.421317,-0.282421,0.0694017
1.28,-0.421342,-0.282425,0.069395
1.29,-0.421366,-0.28243,0.0693885
1.3,-0.421388,-0.282434,0.0693824
1.31,-0.421409,-0.282438,0.0693766
1.32,-0.421429,-0.282442,0.0693711
1.33,-0.421448,-0.282446,0.0693658
1.34,-0.421467,-0.282449,0.0693608
1.35,-0.421484,-0.282453,0.0693561
1.36,-0.4215,-0.282456,0.0693516
1.37,-0.421516,-0.282459,0.0693473
1.38,-0.421531,-0.282462,0.0693432
1.39,-0.421545,-0.282464,0.0693393
1.4,-0.421558,-0.282467,0.0693356
1.41,-0.421571,-0.28247,0.0693321
1.42,-0.421583,-0.282472,0.0693288
1.43,-0.421594,-0.282474,0.0693257
1.44,-0.421605,-0.282476,0.0693226
1.45,-0.421615,-0.282478,0.0693198
1.46,-0.421625,-0.28248,0.0693171
1.47,-0.421634,-0.282482,0.0693145
1.48,-0.421643,-0.282484,0.069312
1.49,-0.421651,-0.282486,0.0693097
1.5,-0.421659,-0.282487,0.0693075
1.51,-0.421667,-0.282489,0.0693054
1.52,-0.421674,-0.282491,0.0693034
