time_sec,left_shoulder_pan_joint_desired_pos,left_shoulder_pan_joint_desired_vel,left_shoulder_pan_joint_actual_pos,left_shoulder_pan_joint_actual_vel,left_shoulder_pan_joint_error_pos,left_shoulder_pan_joint_error_vel,left_shoulder_lift_joint_desired_pos,left_shoulder_lift_joint_desired_vel,left_shoulder_lift_joint_actual_pos,left_shoulder_lift_joint_actual_vel,left_shoulder_lift_joint_error_pos,left_shoulder_lift_joint_error_vel,left_elbow_joint_desired_pos,left_elbow_joint_desired_vel,left_elbow_joint_actual_pos,left_elbow_joint_actual_vel,left_elbow_joint_error_pos,left_elbow_joint_error_vel,left_wrist_1_joint_desired_pos,left_wrist_1_joint_desired_vel,left_wrist_1_joint_actual_pos,left_wrist_1_joint_actual_vel,left_wrist_1_joint_error_pos,left_wrist_1_joint_error_vel,left_wrist_2_joint_desired_pos,left_wrist_2_joint_desired_vel,left_wrist_2_joint_actual_pos,left_wrist_2_joint_actual_vel,left_wrist_2_joint_error_pos,left_wrist_2_joint_error_vel,left_wrist_3_joint_desired_pos,left_wrist_3_joint_desired_vel,left_wrist_3_joint_actual_pos,left_wrist_3_joint_actual_vel,left_wrist_3_joint_error_pos,left_wrist_3_joint_error_vel
0,-0.614676,-1.38897e-17,-0.614676,0,0,0,0.548469,2.40079e-17,0.548469,0,0,0,-2.25501,-1.04308e-17,-2.25501,0,0,0,0.871724,-2.29242e-18,0.871724,0,0,0,2.39421,-9.21303e-18,2.39421,0,0,0,-2.42195,1.53449e-17,-2.42195,0,0,0
0.00999995,-0.614676,-1.38897e-17,-0.614676,0,0,0,0.548469,2.40079e-17,0.548469,0,0,0,-2.25501,-1.04308e-17,-2.25501,0,0,0,0.871724,-2.29242e-18,0.871724,0,0,0,2.39421,-9.21303e-18,2.39421,0,0,0,-2.42195,1.53449e-17,-2.42195,0,0,0
0.0202791,-0.614676,-1.38897e-17,-0.614676,0,0,0,0.548469,2.40079e-17,0.548469,0,0,0,-2.25501,-1.04308e-17,-2.25501,0,0,0,0.871724,-2.29242e-18,0.871724,0,0,0,2.39421,-9.21303e-18,2.39421,0,0,0,-2.42195,1.53449e-17,-2.42195,0,0,0
0.0299851,-0.614676,-1.38897e-17,-0.614676,0,0,0,0.548469,2.40079e-17,0.548469,0,0,0,-2.25501,-1.04308e-17,-2.25501,0,0,0,0.871724,-2.29242e-18,0.871724,0,0,0,2.39421,-9.21303e-18,2.39421,0,0,0,-2.42195,1.53449e-17,-2.42195,0,0,0
0.0400002,-0.614676,-1.38897e-17,-0.614676,0,0,0,0.548469,2.40079e-17,0.548469,0,0,0,-2.25501,-1.04308e-17,-2.25501,0,0,0,0.871724,-2.29242e-18,0.871724,0,0,0,2.39421,-9.21303e-18,2.39421,0,0,0,-2.42195,1.53449e-17,-2.42195,0,0,0
0.0499458,-0.614674,0.000912213,-0.614676,0,1.87121e-06,0,0.548466,-0.00157065,0.548469,0,-3.22185e-06,0,-2.255,0.000692538,-2.25501,0,1.42059e-06,0,0.871724,0.000132105,0.871724,0,2.70985e-07,0,2.39421,0.00060332,2.39421,0,1.23758e-06,0,-2.42195,-0.00101242,-2.42195,0,-2.07676e-06,0
0.0599867,-0.614661,0.00360817,-0.614661,0,1.53404e-07,0,0.548443,-0.00621256,0.548443,0,-2.64132e-07,0,-2.25499,0.00273926,-2.25499,0,1.16462e-07,0,0.871726,0.00052253,0.871726,0,2.22158e-08,0,2.39422,0.00238637,2.39422,0,1.01459e-07,0,-2.42197,-0.00400452,-2.42197,0,-1.70256e-07,0
0.0700087,-0.614625,0.00808308,-0.614625,0,1.63186e-07,0,0.548381,-0.0139175,0.548382,0,-2.80975e-07,0,-2.25497,0.00613655,-2.25497,0,1.23889e-07,0,0.871731,0.00117058,0.871731,0,2.36324e-08,0,2.39424,0.00534599,2.39424,0,1.07928e-07,0,-2.42201,-0.008971,-2.42201,0,-1.81112e-07,0
0.0800062,-0.614555,0.0143857,-0.614555,0,-4.18475e-08,0,0.548262,-0.0247693,0.548261,0,7.20532e-08,0,-2.25491,0.0109214,-2.25491,0,-3.177e-08,0,0.871741,0.00208331,0.871741,0,-6.06029e-09,0,2.39429,0.0095144,2.39429,0,-2.76771e-08,0,-2.42209,-0.0159659,-2.42209,0,4.64444e-08,0
0.0900249,-0.61444,0.0223767,-0.614441,0,4.39166e-07,0,0.548063,-0.0385282,0.548064,0,-7.56157e-07,0,-2.25483,0.016988,-2.25483,0,3.33408e-07,0,0.871758,0.00324055,0.871758,0,6.35993e-08,0,2.39436,0.0147995,2.39436,0,2.90456e-07,0,-2.42221,-0.0248347,-2.42221,0,-4.87408e-07,0
