time_sec,q0,q1,q2,q3,q4,q5,tau0,tau1,tau2,tau3,tau4,tau5
0,-0.614421,0.548062,-2.25481,0.871743,2.39438,-2.42225,nan,nan,nan,nan,nan,nan
0.01,-0.614434,0.548082,-2.25482,0.871743,2.39437,-2.42224,nan,nan,nan,nan,nan,nan
0.02,-0.614446,0.548101,-2.25483,0.871742,2.39436,-2.42222,nan,nan,nan,nan,nan,nan
0.03,-0.614457,0.54812,-2.25484,0.871741,2.39435,-2.42221,nan,nan,nan,nan,nan,nan
0.04,-0.614468,0.548137,-2.25485,0.87174,2.39435,-2.4222,nan,nan,nan,nan,nan,nan
0.05,-0.614478,0.548154,-2.25485,0.871739,2.39434,-2.42218,nan,nan,nan,nan,nan,nan
0.06,-0.61448,0.548157,-2.25485,0.871741,2.39434,-2.42219,nan,nan,nan,nan,nan,nan
0.07,-0.614477,0.548152,-2.25485,0.871742,2.39434,-2.42219,nan,nan,nan,nan,nan,nan
0.08,-0.61447,0.548141,-2.25484,0.871743,2.39435,-2.4222,nan,nan,nan,nan,nan,nan
0.09,-0.614459,0.548123,-2.25483,0.871745,2.39436,-2.42221,nan,nan,nan,nan,nan,nan
0.1,-0.614441,0.548092,-2.25482,0.871749,2.39437,-2.42223,nan,nan,nan,nan,nan,nan
0.11,-0.614413,0.548046,-2.2548,0.871754,2.39439,-2.42227,nan,nan,nan,nan,nan,nan
0.12,-0.614373,0.547977,-2.25476,0.871761,2.39442,-2.42231,nan,nan,nan,nan,nan,nan
0.13,-0.614317,0.547883,-2.25472,0.871772,2.39446,-2.42238,nan,nan,nan,nan,nan,nan
0.14,-0.614244,0.547758,-2.25466,0.871785,2.39451,-2.42247,nan,nan,nan,nan,nan,nan
0.15,-0.61415,0.547599,-2.25458,0.871801,2.39458,-2.42257,nan,nan,nan,nan,nan,nan
0.16,-0.614034,0.547401,-2.25449,0.87182,2.39466,-2.42271,nan,nan,nan,nan,nan,nan
0.17,-0.613893,0.54716,-2.25438,0.871844,2.39475,-2.42287,nan,nan,nan,nan,nan,nan
0.18,-0.613725,0.546873,-2.25424,0.871871,2.39487,-2.42306,nan,nan,nan,nan,nan,nan
0.19,-0.613529,0.546537,-2.25409,0.871903,2.395,-2.42329,nan,nan,nan,nan,nan,nan
0.2,-0.613301,0.546147,-2.25391,0.87194,2.39516,-2.42354,nan,nan,nan,nan,nan,nan
0.21,-0.613041,0.545702,-2.25371,0.871981,2.39534,-2.42384,nan,nan,nan,nan,nan,nan
0.22,-0.612747,0.545198,-2.25348,0.872027,2.39554,-2.42417,nan,nan,nan,nan,nan,nan
0.23,-0.612417,0.544632,-2.25322,0.872078,2.39576,-2.42454,nan,nan,nan,nan,nan,nan
0.24,-0.61205,0.544002,-2.25293,0.872135,2.39601,-2.42496,nan,nan,nan,nan,nan,nan
0.25,-0.611644,0.543305,-2.25262,0.872198,2.39628,-2.42542,nan,nan,nan,nan,nan,nan
0.26,-0.611197,0.542539,-2.25227,0.872266,2.39658,-2.42592,nan,nan,nan,nan,nan,nan
0.27,-0.610709,0.541701,-2.2519,0.87234,2.39691,-2.42647,nan,nan,nan,nan,nan,nan
0.28,-0.610179,0.54079,-2.25149,0.87242,2.39727,-2.42706,nan,nan,nan,nan,nan,nan
0.29,-0.609604,0.539802,-2.25104,0.872507,2.39765,-2.42771,nan,nan,nan,nan,nan,nan
0.3,-0.608984,0.538737,-2.25057,0.8726,2.39807,-2.4284,nan,nan,nan,nan,nan,nan
0.31,-0.608255,0.537496,-2.24998,0.872696,2.39857,-2.42924,nan,nan,nan,nan,nan,nan
0.32,-0.607366,0.535996,-2.24924,0.872781,2.39918,-2.43028,nan,nan,nan,nan,nan,nan
0.33,-0.606304,0.534211,-2.24836,0.872851,2.39991,-2.43153,nan,nan,nan,nan,nan,nan
0.34,-0.605067,0.532139,-2.24733,0.872904,2.40074,-2.43297,nan,nan,nan,nan,nan,nan
0.35,-0.603656,0.529778,-2.24615,0.872942,2.40169,-2.43462,nan,nan,nan,nan,nan,nan
0.36,-0.602069,0.527129,-2.24482,0.872964,2.40274,-2.43648,nan,nan,nan,nan,nan,nan
0.37,-0.600309,0.524192,-2.24335,0.87297,2.4039,-2.43853,nan,nan,nan,nan,nan,nan
0.38,-0.598374,0.520967,-2.24173,0.872961,2.40518,-2.44079,nan,nan,nan,nan,nan,nan
0.39,-0.596268,0.517459,-2.23996,0.872937,2.40656,-2.44325,nan,nan,nan,nan,nan,nan
0.4,-0.593993,0.513672,-2.23806,0.872898,2.40805,-2.4459,nan,nan,nan,nan,nan,nan
0.41,-0.59166,0.509785,-2.23613,0.872816,2.40954,-2.44859,nan,nan,nan,nan,nan,nan
0.42,-0.589316,0.505883,-2.23419,0.872702,2.41103,-2.45129,nan,nan,nan,nan,nan,nan
0.43,-0.586966,0.501981,-2.23223,0.872563,2.41253,-2.45401,nan,nan,nan,nan,nan,nan
0.44,-0.584614,0.498083,-2.23027,0.872399,2.41402,-2.45673,nan,nan,nan,nan,nan,nan
0.45,-0.58226,0.49419,-2.22829,0.872212,2.41551,-2.45947,nan,nan,nan,nan,nan,nan
0.46,-0.579906,0.490305,-2.22631,0.872005,2.41699,-2.46221,nan,nan,nan,nan,nan,nan
0.47,-0.577554,0.48643,-2.22432,0.871777,2.41848,-2.46495,nan,nan,nan,nan,nan,nan
0.48,-0.575207,0.482569,-2.22232,0.871532,2.41996,-2.46769,nan,nan,nan,nan,nan,nan
0.49,-0.572883,0.478751,-2.22035,0.871273,2.42142,-2.4704,nan,nan,nan,nan,nan,nan
0.5,-0.570647,0.475075,-2.21847,0.871015,2.4228,-2.47299,nan,nan,nan,nan,nan,nan
0.51,-0.568519,0.471574,-2.21668,0.870768,2.42412,-2.47546,nan,nan,nan,nan,nan,nan
0.52,-0.566496,0.468246,-2.21498,0.870534,2.42537,-2.4778,nan,nan,nan,nan,nan,nan
0.53,-0.564573,0.465085,-2.21337,0.870312,2.42657,-2.48002,nan,nan,nan,nan,nan,nan
0.54,-0.562746,0.462081,-2.21183,0.870102,2.4277,-2.48214,nan,nan,nan,nan,nan,nan
0.55,-0.56101,0.459227,-2.21037,0.869903,2.42878,-2.48415,nan,nan,nan,nan,nan,nan
0.56,-0.55936,0.456517,-2.20899,0.869714,2.4298,-2.48606,nan,nan,nan,nan,nan,nan
0.57,-0.557794,0.453943,-2.20767,0.869538,2.43078,-2.48788,nan,nan,nan,nan,nan,nan
0.58,-0.556304,0.451498,-2.20641,0.86937,2.43171,-2.48961,nan,nan,nan,nan,nan,nan
0.59,-0.554889,0.449174,-2.20522,0.86921,2.43259,-2.49125,nan,nan,nan,nan,nan,nan
0.6,-0.553544,0.446966,-2.20408,0.869058,2.43343,-2.49282,nan,nan,nan,nan,nan,nan
0.61,-0.552267,0.444868,-2.20301,0.868913,2.43423,-2.4943,nan,nan,nan,nan,nan,nan
0.62,-0.551053,0.442875,-2.20198,0.868776,2.43499,-2.49572,nan,nan,nan,nan,nan,nan
0.63,-0.549899,0.440982,-2.201,0.868647,2.43571,-2.49706,nan,nan,nan,nan,nan,nan
