time_sec,left_shoulder_pan_joint,left_shoulder_lift_joint,left_elbow_joint,left_wrist_1_joint,left_wrist_2_joint,left_wrist_3_joint
0,0.0176728,-0.0316841,0.00493574,-0.000863524,0.00103725,-0.00280431
0.016,0.0176728,-0.0316841,0.00493574,-0.000863524,0.00103725,-0.00280431
0.026,0.0157887,-0.0282967,0.00442967,-0.000769307,0.000929774,-0.00250938
0.04,0.0145459,-0.026063,0.00409443,-0.000707303,0.000858671,-0.00231456
0.054,0.013539,-0.0242537,0.00382191,-0.000657159,0.00080093,-0.00215654
0.072,0.0124734,-0.0223392,0.00353254,-0.000604186,0.000739677,-0.00198911
0.086,0.0113745,-0.0203654,0.00323304,-0.000549673,0.000676347,-0.00181624
0.1,0.0106963,-0.0191475,0.00304758,-0.00051609,0.000637168,-0.00170943
0.114,0.0106963,-0.0191475,0.00304758,-0.00051609,0.000637168,-0.00170943
0.124,0.00985453,-0.0176361,0.0028167,-0.000474479,0.000588435,-0.00157671
0.14,0.00926698,-0.0165814,0.00265507,-0.000445486,0.000554347,-0.00148398
0.16,0.00819491,-0.0146575,0.00235904,-0.000392701,0.000491978,-0.00131456
0.174,0.00770634,-0.013781,0.00222362,-0.000368701,0.000463475,-0.00123725
0.184,0.00695595,-0.012435,0.00201494,-0.000331913,0.000419592,-0.00111837
0.196,0.11692,-0.238337,-0.043564,-0.0154241,-0.00755393,-0.000706484
0.206,0.11692,-0.238337,-0.043564,-0.0154241,-0.00755393,-0.000706484
0.218,-0.00214166,-0.0111561,-0.0209031,-0.00209818,-0.00262066,0.00344972
0.228,-0.0202755,0.0357779,-0.00684291,0.000783744,-0.00128077,0.00325345
0.24,-0.0202755,0.0357779,-0.00684291,0.000783744,-0.00128077,0.00325345
0.252,0.54415,-0.989423,0.208329,-0.0229321,0.0297084,-0.0808032
0.284,-0.097395,0.170192,-0.0412279,0.00273026,-0.00709808,0.0166204
0.294,0.899717,-1.84564,-0.227261,-0.116565,-0.0535903,-0.0135549
0.308,0.158354,-0.460346,-0.261663,-0.0448413,-0.0377601,0.032425
0.318,0.158354,-0.460346,-0.261663,-0.0448413,-0.0377601,0.032425
0.332,0.491232,-0.990442,-0.0756548,-0.060936,-0.026656,-0.0103615
0.342,0.165353,-0.479176,-0.331267,-0.0564041,-0.0536459,0.0503939
0.352,1.92699,-3.3203,1.5377,0.0860569,0.34363,-0.563307
0.366,1.41082,-2.64985,0.296529,-0.0909628,0.035526,-0.159934
0.38,0.146314,-0.459015,-0.405706,-0.065567,-0.0686786,0.0698611
0.39,0.867475,-1.69511,-0.0872086,-0.103141,-0.0437705,-0.0221339
0.4,0.867475,-1.69511,-0.0872086,-0.103141,-0.0437705,-0.0221339
0.41,-0.247392,0.312178,-0.394378,-0.0266529,-0.0612635,0.0951149
0.426,-0.010188,-0.121482,-0.359929,-0.0459461,-0.0649293,0.0796635
0.442,8.40432,-14.7033,3.63808,-0.639838,0.395947,-1.28181
0.47,-1.16002,1.9224,-0.847862,0.042229,-0.111531,0.249085
0.482,5.65565,-10.3801,0.261805,-0.663944,-0.1783,-0.307114
0.498,-1.66879,2.9934,-0.819969,0.0984951,-0.11182,0.295798
0.51,-1.75411,3.28652,-0.642445,0.118077,-0.0966431,0.281159
0.522,-1.62081,3.06048,-0.546535,0.111051,-0.0860269,0.254118
0.534,9.00675,-17.0724,-1.98586,-1.21743,-0.599402,-0.0723432
0.546,-0.89508,0.976995,-2.11473,-0.0362206,-0.251892,0.433111
0.558,-1.40264,2.41973,-1.50185,0.0401503,-0.217048,0.419653
0.572,0.369362,-0.36466,-0.54604,-0.151694,-0.183608,0.185979
0.584,-1.29944,2.40179,-1.20801,0.0446528,-0.197041,0.380264
0.598,0.270602,-0.108832,0.0347294,-0.0890964,-0.0451568,0.0188575
0.61,-2.33211,4.22055,-1.15685,0.181248,-0.146645,0.416212
0.624,-2.4279,4.4546,-0.947853,0.198231,-0.125084,0.391409
0.634,-2.3223,4.26299,-0.865916,0.189572,-0.117193,0.369164
0.646,-2.218,4.06262,-0.812959,0.18017,-0.111466,0.350757
0.656,-2.09855,3.83116,-0.757754,0.169396,-0.105232,0.33034
0.666,-2.09855,3.83116,-0.757754,0.169396,-0.105232,0.33034
0.682,-1.94579,3.5377,-0.690117,0.155751,-0.0974118,0.304677
0.692,-1.71691,3.06522,-0.61355,0.0947986,-0.123376,0.27226
0.71,-1.5976,2.87196,-0.556641,0.122074,-0.0853078,0.249058
0.724,-1.5976,2.87196,-0.556641,0.122074,-0.0853078,0.249058
0.748,-1.39012,2.49234,-0.463731,0.108071,-0.0693176,0.213952
0.758,-1.26062,2.25385,-0.41503,0.0973652,-0.0628836,0.193392
0.77,-1.10942,1.97685,-0.35994,0.0850198,-0.0553875,0.169593
