Time_s,Position_m,Velocity_ms,Acceleration_ms2
0,5.53354e-322,6.93656e-310,6.95254e-310
0.01,1.66667e-06,0.0005,0.1
0.02,1.33333e-05,0.002,0.2
0.03,4.49782e-05,0.00447222,0.276427
0.04,0.000103522,0.00723649,0.276427
0.05,0.000189708,0.0100008,0.276427
0.06,0.000303537,0.012765,0.276427
0.07,0.000445009,0.0155293,0.276427
0.08,0.000614123,0.0182936,0.276427
0.09,0.00081088,0.0210579,0.276427
0.1,0.00103528,0.0238221,0.276427
0.11,0.00128732,0.0265864,0.276427
0.12,0.00156701,0.0293507,0.276427
0.13,0.00187434,0.032115,0.276427
0.14,0.00220931,0.0348792,0.276427
0.15,0.00257192,0.0376435,0.276427
0.16,0.00296218,0.0404078,0.276427
0.17,0.00338008,0.043172,0.276427
0.18,0.00382562,0.0459363,0.276427
0.19,0.0042988,0.0487006,0.276427
0.2,0.00479963,0.0514649,0.276427
0.21,0.0053281,0.0542291,0.276427
0.22,0.00588421,0.0569934,0.276427
0.23,0.00646797,0.0597577,0.276427
0.24,0.00707937,0.062522,0.276427
0.25,0.00771841,0.0652862,0.276427
0.26,0.00838509,0.0680505,0.276427
0.27,0.00907942,0.0708148,0.276427
0.28,0.00980139,0.0735791,0.276427
0.29,0.010551,0.0763433,0.276427
0.3,0.0113283,0.0791076,0.276427
0.31,0.0121332,0.0818719,0.276427
0.32,0.0129657,0.0846361,0.276427
0.33,0.0138259,0.0874004,0.276427
0.34,0.0147137,0.0901647,0.276427
0.35,0.0156292,0.092929,0.276427
0.36,0.0165723,0.0956932,0.276427
0.37,0.017543,0.0984575,0.276427
0.38,0.0185414,0.101222,0.276427
0.39,0.0195675,0.103986,0.276427
0.4,0.0206211,0.10675,0.276427
0.41,0.0217025,0.109515,0.276427
0.42,0.0228114,0.112279,0.276427
0.43,0.0239481,0.115043,0.276427
0.44,0.0251123,0.117807,0.276427
0.45,0.0263042,0.120572,0.276427
0.46,0.0275237,0.123336,0.276427
0.47,0.0287709,0.1261,0.276427
0.48,0.0300457,0.128865,0.276427
0.49,0.0313482,0.131629,0.276427
0.5,0.0326783,0.134393,0.276427
0.51,0.0340361,0.137157,0.276427
0.52,0.0354213,0.139821,0.231567
0.53,0.0368294,0.141637,0.131567
0.54,0.0382507,0.142452,0.0315665
0.55,0.0396752,0.142268,-0.0684335
0.56,0.0410927,0.141084,-0.168433
0.57,0.0424935,0.138899,-0.268433
0.58,0.0438674,0.135715,-0.368433
0.59,0.0452045,0.131571,-0.4401
0.6,0.0464982,0.12717,-0.4401
0.61,0.0477479,0.122769,-0.4401
0.62,0.0489536,0.118368,-0.4401
0.63,0.0501152,0.113967,-0.4401
0.64,0.0512329,0.109566,-0.4401
0.65,0.0523066,0.105165,-0.4401
0.66,0.0533362,0.100764,-0.4401
0.67,0.0543218,0.0963628,-0.4401
0.68,0.0552635,0.0919618,-0.4401
0.69,0.0561611,0.0875608,-0.4401
0.7,0.0570147,0.0831598,-0.4401
0.71,0.0578243,0.0787588,-0.4401
0.72,0.0585899,0.0743578,-0.4401
0.73,0.0593114,0.0699568,-0.4401
0.74,0.059989,0.0655558,-0.4401
0.75,0.0606225,0.0611548,-0.4401
0.76,0.0612121,0.0567538,-0.4401
0.77,0.0617576,0.0523528,-0.4401
0.78,0.0622591,0.0479518,-0.4401
0.79,0.0627167,0.0435508,-0.4401
0.8,0.0631302,0.0391498,-0.4401
0.81,0.0634997,0.0347488,-0.4401
0.82,0.0638251,0.0303478,-0.4401
0.83,0.0641066,0.0259468,-0.4401
0.84,0.0643441,0.0215458,-0.4401
0.85,0.0645375,0.0171448,-0.4401
0.86,0.064687,0.0127439,-0.4401
0.87,0.0647925,0.00838931,-0.409617
0.88,0.0648575,0.00479314,-0.309617
0.89,0.0648916,0.00219697,-0.209617
0.9,0.0649048,0.000600797,-0.109617
0.91,0.064907,4.62453e-06,-0.0096172
0.92,0.064907,-1.68455e-17,5.55112e-17
