iteration,q_0,q_1,q_2,q_3,q_4,q_5,err_p,err_o
0,-0.079955,-1.21991,2.23006,-2.47357,-3.89996,0.100088,0.453253,0.747134
1,0.000471535,-1.53694,2.99048,-2.56502,-4.07285,0.428529,0.586082,0.841311
2,0.155162,-1.52868,3.09386,-2.5544,-4.20388,0.472264,0.630385,0.899189
3,0.30594,-1.51493,3.18538,-2.53631,-4.35253,0.499709,0.677273,0.94762
4,0.456855,-1.49407,3.27198,-2.50748,-4.52159,0.504652,0.728488,0.982611
5,0.602291,-1.46015,3.35268,-2.46156,-4.70458,0.481951,0.780815,0.999082
6,0.733622,-1.40661,3.42624,-2.39281,-4.89181,0.430066,0.829404,0.994941
7,0.843096,-1.32586,3.48997,-2.2938,-5.07888,0.344858,0.871187,0.971186
8,0.914408,-1.20405,3.52815,-2.15248,-5.25659,0.217878,0.904286,0.93292
9,0.938127,-1.02659,3.51601,-1.96443,-5.38802,0.0446121,0.926114,0.893483
10,0.966082,-0.853959,3.49535,-1.80063,-5.39417,-0.0942787,0.924716,0.871819
11,0.982181,-0.705992,3.47472,-1.67284,-5.32539,-0.180831,0.908539,0.870247
12,0.972635,-0.576266,3.45367,-1.56882,-5.21761,-0.234447,0.885432,0.883181
13,0.937267,-0.463817,3.43269,-1.48339,-5.08403,-0.260816,0.859331,0.904846
14,0.880974,-0.369301,3.41115,-1.41429,-4.93213,-0.259331,0.832862,0.930375
15,0.810085,-0.292814,3.38802,-1.3598,-4.76792,-0.228959,0.808299,0.95591
16,0.729796,-0.23339,3.36249,-1.31803,-4.59614,-0.171247,0.787875,0.978153
17,0.643064,-0.189582,3.33408,-1.28731,-4.41968,-0.0907608,0.773658,0.993923
18,0.55099,-0.160278,3.30232,-1.2668,-4.23987,0.00572573,0.767176,0.999999
19,0.453928,-0.145171,3.26645,-1.25677,-4.05743,0.110009,0.769025,0.993248
20,0.352816,-0.144717,3.22534,-1.25857,-3.87356,0.213173,0.778672,0.970851
21,0.250474,-0.159446,3.17797,-1.27397,-3.69088,0.307065,0.794553,0.930604
22,0.15202,-0.188586,3.1243,-1.3038,-3.51361,0.386955,0.814354,0.871441
23,0.0632573,-0.228865,3.06627,-1.34668,-3.34629,0.453706,0.835355,0.794241
24,-0.0110697,-0.274726,3.00808,-1.39902,-3.19439,0.512424,0.854647,0.703341
25,-0.0693127,-0.319919,2.95446,-1.45606,-3.06307,0.568508,0.869768,0.606561
26,-0.113172,-0.359756,2.90801,-1.51393,-2.95396,0.624472,0.879623,0.511985
27,-0.144874,-0.391774,2.86917,-1.57024,-2.86652,0.679527,0.884314,0.426308
28,-0.165988,-0.415237,2.83688,-1.62376,-2.79834,0.731448,0.884753,0.353947
29,-0.177411,-0.430306,2.80952,-1.67408,-2.74592,0.778432,0.882174,0.297181
30,-0.179649,-0.437413,2.7854,-1.72132,-2.70564,0.819766,0.877728,0.256773
31,-0.17294,-0.436915,2.76284,-1.76593,-2.67445,0.855589,0.872255,0.232419
32,-0.15722,-0.428946,2.74008,-1.80848,-2.65,0.886477,0.866258,0.222845
33,-0.132039,-0.413304,2.71518,-1.84955,-2.63055,0.913165,0.859989,0.226001
34,-0.0964003,-0.389287,2.68577,-1.88969,-2.61478,0.936404,0.85358,0.239725
35,-0.048441,-0.355333,2.64868,-1.92941,-2.6015,0.956879,0.84723,0.26253
36,0.0153478,-0.308102,2.59892,-1.96924,-2.58916,0.975082,0.84156,0.294042
37,0.102364,-0.239733,2.52665,-2.00981,-2.57418,0.990915,0.838596,0.335145
38,0.233765,-0.126206,2.40404,-2.05174,-2.54262,1.00156,0.846203,0.388157
39,0.603805,0.179617,2.03904,-2.08462,-2.31823,0.958026,0.935125,0.457384
40,2.58796,0.274967,0.685145,-0.986009,-0.549485,0.736821,1.4807,0.52925
41,1.73902,2.07555,-2.75871,0.90033,-1.62047,0.612972,0.867372,0.56602
42,1.76094,2.02675,-2.59177,0.894675,-1.69571,0.658885,0.86663,0.601064
43,1.78436,1.93648,-2.35225,0.886592,-1.79776,0.703523,0.877334,0.648342
44,2.07111,0.919002,-1.03244,0.798912,-1.76131,0.6452,1.21209,0.729978
45,2.08408,-0.403829,2.16286,-0.848125,-2.03413,0.654757,0.87485,0.81215
46,2.17337,0.0617796,0.876565,0.204705,-2.29729,0.603332,1.19953,0.88382
47,2.20588,1.80073,-2.5091,2.09853,-2.65429,0.59632,0.786472,0.94118
48,2.24369,1.81251,-2.34364,2.14167,-2.86709,0.563073,0.845305,0.963821
49,2.2712,1.81242,-2.18532,2.18621,-3.09155,0.531363,0.894937,0.978929
50,2.28405,1.79976,-2.03978,2.22729,-3.31526,0.489877,0.932062,0.987966
